                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                  0.908,                0.64793,                0.89576,                0.67564,                0.35748,                0.36262,                0.23976,                 1.3466,                 1.8864,                  1.103,             0.00018575,             0.00018575,             0.00018575
                     88,                0.88827,                0.64395,                0.89291,                0.71945,                0.32647,                0.35801,                0.24364,                 1.3429,                 1.8745,                 1.1095,             0.00017338,             0.00017338,             0.00017338
                     89,                0.90105,                0.62644,                0.88914,                0.72233,                0.33694,                0.36256,                0.24717,                 1.3505,                  1.875,                 1.1134,               0.000161,               0.000161,               0.000161
                     90,                0.89123,                0.63552,                0.88872,                 0.7204,                0.34034,                0.36187,                0.24766,                 1.3413,                 1.8632,                 1.1096,             0.00014862,             0.00014862,             0.00014862
                     91,                0.87214,                0.59701,                0.88444,                 0.7198,                0.33486,                0.35035,                0.23685,                 1.3531,                 1.8569,                 1.1132,             0.00013625,             0.00013625,             0.00013625
                     92,                0.83846,                0.56538,                0.88442,                0.68714,                0.34748,                 0.3533,                 0.2392,                 1.3521,                 1.8644,                 1.1104,             0.00012387,             0.00012387,             0.00012387
                     93,                0.83948,                0.55173,                0.87906,                0.75862,                0.30872,                0.35531,                0.24262,                 1.3568,                 1.8711,                 1.1099,              0.0001115,              0.0001115,              0.0001115
                     94,                0.82558,                0.53995,                0.87686,                0.75232,                0.31114,                0.35585,                0.24055,                 1.3481,                 1.8858,                  1.105,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.81614,                0.53913,                0.87238,                0.77482,                0.30937,                0.35451,                0.23892,                 1.3563,                 1.9116,                 1.1159,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.81401,                0.54671,                0.87949,                0.78186,                0.30547,                0.35256,                0.23707,                 1.3607,                 1.9097,                 1.1123,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.79008,                0.52059,                0.86517,                0.74694,                 0.3166,                0.35058,                0.23744,                 1.3529,                 1.9039,                 1.1099,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.79735,                0.52861,                0.86814,                 0.7811,                0.30597,                0.35391,                0.23708,                 1.3611,                 1.8854,                 1.1166,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.79961,                0.53106,                  0.871,                0.78415,                0.30337,                0.35324,                0.23817,                 1.3541,                 1.9016,                 1.1161,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                 0.7868,                0.52333,                0.87133,                0.78358,                0.30467,                0.35326,                0.23697,                 1.3532,                 1.9136,                 1.1136,             2.4875e-05,             2.4875e-05,             2.4875e-05
